cases.0.case_id	cases.0.samples.0.portions.0.analytes.0.aliquots.0.aliquot_id	cases.0.samples.0.portions.0.analytes.0.aliquots.0.submitter_id	cases.0.samples.0.sample_id	cases.0.samples.0.sample_type	cases.0.samples.0.submitter_id	cases.0.samples.0.tissue_type	cases.0.submitter_id	data_category	data_type	file_id	file_name	id	barcode_numeric_id
fa176764-a76f-44c7-b97a-cd6d21e052be	b34ad5ac-c581-4747-88db-e2d52fa7e463	TCGA-E2-A1LB-11A-22R-A144-07	4a429750-5cdd-44bc-8b2f-9921c3d1102e	Solid Tissue Normal	TCGA-E2-A1LB-11A	Normal	TCGA-E2-A1LB	Transcriptome Profiling	Gene Expression Quantification	be386ce9-a12f-4c16-80ba-a5d47d5b374e	13daffbb-aa53-44f9-a6ed-5fd43ed37471.rna_seq.augmented_star_gene_counts.tsv	be386ce9-a12f-4c16-80ba-a5d47d5b374e	36
64089c20-939f-48b4-ae8b-904ad0597145	4f3a68ee-00c8-44bd-b9d6-f3fa6dc4084c	TCGA-E2-A15I-01A-21R-A137-07	c2f00c0c-9ad9-4c1d-912c-52eacedcba12	Primary Tumor	TCGA-E2-A15I-01A	Tumor	TCGA-E2-A15I	Transcriptome Profiling	Gene Expression Quantification	cf53cdad-a323-475e-a84a-87b68d13e262	37d359b3-d8f5-44cf-8f30-57dfdbbab8c1.rna_seq.augmented_star_gene_counts.tsv	cf53cdad-a323-475e-a84a-87b68d13e262	37
64089c20-939f-48b4-ae8b-904ad0597145	f9df2254-ab08-4ab2-9b86-ed40e6c8a4b9	TCGA-E2-A15I-11A-32R-A137-07	e3368a46-4101-4dd5-a447-255f59bfa9da	Solid Tissue Normal	TCGA-E2-A15I-11A	Normal	TCGA-E2-A15I	Transcriptome Profiling	Gene Expression Quantification	2a898b49-54b6-4cb6-8af4-fb69d0818562	69303772-638d-4171-84d2-cfa535256976.rna_seq.augmented_star_gene_counts.tsv	2a898b49-54b6-4cb6-8af4-fb69d0818562	37
c348a9b3-c901-4384-a222-144387bac0c5	05a4f4ff-cdfd-4332-8146-066657a4c3cc	TCGA-BH-A1FU-01A-11R-A14D-07	438152c8-2d26-4b35-9f68-a4b6c473916e	Primary Tumor	TCGA-BH-A1FU-01A	Tumor	TCGA-BH-A1FU	Transcriptome Profiling	Gene Expression Quantification	90eefb33-6808-45c3-9ab1-6eca0decdc9d	71c9a6fc-0538-4533-af51-f7c9defe7770.rna_seq.augmented_star_gene_counts.tsv	90eefb33-6808-45c3-9ab1-6eca0decdc9d	46
c348a9b3-c901-4384-a222-144387bac0c5	df661ba2-098b-49e0-884c-27cf2ecd87f2	TCGA-BH-A1FU-11A-23R-A14D-07	08693317-d839-477c-b145-477a3521e03a	Solid Tissue Normal	TCGA-BH-A1FU-11A	Normal	TCGA-BH-A1FU	Transcriptome Profiling	Gene Expression Quantification	eddb2dc6-2b72-43a8-a7fc-3dd09dde68af	316d8a79-9084-4355-9de7-e29503bf0864.rna_seq.augmented_star_gene_counts.tsv	eddb2dc6-2b72-43a8-a7fc-3dd09dde68af	46
f2622cdb-ac92-42b3-a1ca-67e133c3dd4a	7c521ef7-4adf-46ef-ade0-088cbe02223d	TCGA-AC-A3OD-01A-11R-A21T-07	42c7e92b-6820-4562-9e32-a424a99a6cba	Primary Tumor	TCGA-AC-A3OD-01A	Tumor	TCGA-AC-A3OD	Transcriptome Profiling	Gene Expression Quantification	7e915086-4926-4670-9f43-e35e2d04d6c5	a091a049-ebb1-465c-bf2e-b2abd72e4901.rna_seq.augmented_star_gene_counts.tsv	7e915086-4926-4670-9f43-e35e2d04d6c5	49
f130f376-5801-40f9-975d-a7e2f7b5670d	b629190c-9d4b-4cb4-8b3d-c0137774cc72	TCGA-A7-A0DB-01A-11R-A277-07	e8cb34ed-67cb-48b7-83cd-621a1224e781	Primary Tumor	TCGA-A7-A0DB-01A	Tumor	TCGA-A7-A0DB	Transcriptome Profiling	Gene Expression Quantification	6efd37a6-1669-4cdd-95b6-60c688e1e236	304b7293-0a76-4028-9a18-58c87c751ceb.rna_seq.augmented_star_gene_counts.tsv	6efd37a6-1669-4cdd-95b6-60c688e1e236	58
f130f376-5801-40f9-975d-a7e2f7b5670d	3f3bdfbb-3490-42e4-9511-9df4b8a126a3	TCGA-A7-A0DB-11A-33R-A089-07	e2566ada-c2bf-4c25-bcd0-9f49f2d0b4a2	Solid Tissue Normal	TCGA-A7-A0DB-11A	Normal	TCGA-A7-A0DB	Transcriptome Profiling	Gene Expression Quantification	d7a48283-c113-4745-be6b-553966e6b457	151af32a-7367-4e35-a575-f6da31aa256a.rna_seq.augmented_star_gene_counts.tsv	d7a48283-c113-4745-be6b-553966e6b457	58
f2bbfa9d-9a9d-4f46-9fde-378e4c44e2ad	fef221ff-634b-4188-92cf-5723b9a3c04d	TCGA-BH-A0DK-01A-21R-A056-07	1acae6e0-3100-4de8-a436-e15cdbe1322b	Primary Tumor	TCGA-BH-A0DK-01A	Tumor	TCGA-BH-A0DK	Transcriptome Profiling	Gene Expression Quantification	a629c407-5141-454c-bb69-ba7e58d1febc	5a277308-f1bc-47b3-a397-aeabe9db8dc6.rna_seq.augmented_star_gene_counts.tsv	a629c407-5141-454c-bb69-ba7e58d1febc	64
f2bbfa9d-9a9d-4f46-9fde-378e4c44e2ad	4c1d73ba-31f8-4652-a83d-cc367dde9f43	TCGA-BH-A0DK-11A-13R-A089-07	834ee4b2-bd0c-47ab-9158-c10534e272ea	Solid Tissue Normal	TCGA-BH-A0DK-11A	Normal	TCGA-BH-A0DK	Transcriptome Profiling	Gene Expression Quantification	2bf56d2d-8c5e-4579-847b-03fd0ba46143	fb3713b9-fad5-4d66-b419-8f53530b14cd.rna_seq.augmented_star_gene_counts.tsv	2bf56d2d-8c5e-4579-847b-03fd0ba46143	64
f06f09f3-8133-4a92-ac86-fbe64295e0d8	526da11e-9125-4fcd-98d7-02994c9783d1	TCGA-E9-A1ND-01A-11R-A144-07	b41b1f04-226e-466c-b5e1-f61e45ad3210	Primary Tumor	TCGA-E9-A1ND-01A	Tumor	TCGA-E9-A1ND	Transcriptome Profiling	Gene Expression Quantification	98320692-9c1c-4ed3-9ea1-72f098c03049	7880b3ba-9f39-4744-be72-b87dbd8eb425.rna_seq.augmented_star_gene_counts.tsv	98320692-9c1c-4ed3-9ea1-72f098c03049	68
f06f09f3-8133-4a92-ac86-fbe64295e0d8	ef84a69f-37bc-46fa-98ac-b3976212e11d	TCGA-E9-A1ND-11A-43R-A144-07	41615c91-a592-40ed-8bc1-3dda5f2c8625	Solid Tissue Normal	TCGA-E9-A1ND-11A	Normal	TCGA-E9-A1ND	Transcriptome Profiling	Gene Expression Quantification	8b000fae-e6de-4038-8486-45316cae622d	7be7033e-db49-45cd-8ea5-827266707b1e.rna_seq.augmented_star_gene_counts.tsv	8b000fae-e6de-4038-8486-45316cae622d	68
c694615c-b1c6-499c-8058-995633ebf948	502939cc-3381-4bc2-9ae6-332846cf836b	TCGA-E9-A1RF-01A-11R-A157-07	ca0d78dc-c860-4835-ad07-052f176804a4	Primary Tumor	TCGA-E9-A1RF-01A	Tumor	TCGA-E9-A1RF	Transcriptome Profiling	Gene Expression Quantification	e0bd84f0-9524-4bd2-aa92-7205357596e5	083eb05f-0af4-4f73-bf09-3806eb3b71bb.rna_seq.augmented_star_gene_counts.tsv	e0bd84f0-9524-4bd2-aa92-7205357596e5	79
c694615c-b1c6-499c-8058-995633ebf948	da13db3f-cde6-4e25-9596-009147aa3fa9	TCGA-E9-A1RF-11A-32R-A157-07	9b8be955-8c21-449d-a951-c715a6dd1cab	Solid Tissue Normal	TCGA-E9-A1RF-11A	Normal	TCGA-E9-A1RF	Transcriptome Profiling	Gene Expression Quantification	b9eb33d4-1017-42cf-b72c-f917de5425e7	8fe92722-33b4-421a-9229-7d82e8af0ce2.rna_seq.augmented_star_gene_counts.tsv	b9eb33d4-1017-42cf-b72c-f917de5425e7	79
f3501466-cf32-4866-b5fb-e94dd32341bc	847f00ce-5f09-4e12-90c5-ebdf7612d707	TCGA-44-2661-01A-01R-1107-07	48dd9724-8848-48c3-8628-7e78a24e3f2c	Primary Tumor	TCGA-44-2661-01A	Tumor	TCGA-44-2661	Transcriptome Profiling	Gene Expression Quantification	c3e2e99a-537a-4263-a835-fef5ed2c3588	6906b453-44ef-404a-9fe6-2b4d5fa65110.rna_seq.augmented_star_gene_counts.tsv	c3e2e99a-537a-4263-a835-fef5ed2c3588	102
f3501466-cf32-4866-b5fb-e94dd32341bc	90b503db-13ca-4257-bda3-31d4e7bc69b4	TCGA-44-2661-11A-01R-1758-07	2a7da235-f069-4efa-ac35-649520b4dbb3	Solid Tissue Normal	TCGA-44-2661-11A	Normal	TCGA-44-2661	Transcriptome Profiling	Gene Expression Quantification	359d07bf-89e3-49fd-8237-723ffb299cfb	dd012e44-f2ef-4bd4-92ac-7403ec383b6d.rna_seq.augmented_star_gene_counts.tsv	359d07bf-89e3-49fd-8237-723ffb299cfb	102
028e99e9-5b9a-4954-bb6e-6d4709a3cea8	c2711074-5019-4c8f-a5d7-7bf4654f5647	TCGA-55-6986-01A-11R-1949-07	9622c370-68d0-48da-a7e0-5eb4765b6f27	Primary Tumor	TCGA-55-6986-01A	Tumor	TCGA-55-6986	Transcriptome Profiling	Gene Expression Quantification	ad6ae9d2-c6f5-4686-9b3c-45ea130493f3	2fde57cd-97d2-492d-b37d-a4e2d43239cf.rna_seq.augmented_star_gene_counts.tsv	ad6ae9d2-c6f5-4686-9b3c-45ea130493f3	103
028e99e9-5b9a-4954-bb6e-6d4709a3cea8	e1adae95-dfa9-4279-8fc1-2f899f432360	TCGA-55-6986-11A-01R-1949-07	e8e0e53a-4009-4141-ba6f-eed35fcaad7b	Solid Tissue Normal	TCGA-55-6986-11A	Normal	TCGA-55-6986	Transcriptome Profiling	Gene Expression Quantification	3f474548-c7b2-4d5e-9f8d-03c800a094fe	3db0576d-969f-4cb6-9e5d-51407b953ef4.rna_seq.augmented_star_gene_counts.tsv	3f474548-c7b2-4d5e-9f8d-03c800a094fe	103
15340dd3-84ae-49fb-989a-eb212f3e73da	d4b90c1d-0d33-4845-bec2-ceedcace2dcb	TCGA-49-6744-01A-11R-1858-07	a9d69d7e-298c-4ab6-b64f-1edc58832ccd	Primary Tumor	TCGA-49-6744-01A	Tumor	TCGA-49-6744	Transcriptome Profiling	Gene Expression Quantification	1876b908-e911-464f-be23-2b4eae0a43b6	6efebff1-f165-415e-9001-45a782638785.rna_seq.augmented_star_gene_counts.tsv	1876b908-e911-464f-be23-2b4eae0a43b6	106
15340dd3-84ae-49fb-989a-eb212f3e73da	6abcb12e-73c2-491e-b9f3-4f61f8a4e854	TCGA-49-6744-11A-01R-1858-07	e3962e0e-eafa-4016-8fa4-1c4ba0d2a9ad	Solid Tissue Normal	TCGA-49-6744-11A	Normal	TCGA-49-6744	Transcriptome Profiling	Gene Expression Quantification	9c7f6057-8225-4447-adb3-aed12aa974ad	b277d25a-5485-465a-bef3-db30dc75caa8.rna_seq.augmented_star_gene_counts.tsv	9c7f6057-8225-4447-adb3-aed12aa974ad	106
d9fb85c3-ade1-47bf-8159-170f81eb130f	72540fd3-40fd-44bb-8114-38b71afa16d0	TCGA-AA-3662-01A-01R-1723-07	5f925197-6100-4594-9351-99c693981f43	Primary Tumor	TCGA-AA-3662-01A	Tumor	TCGA-AA-3662	Transcriptome Profiling	Gene Expression Quantification	becb812a-90b7-4b6f-ad39-5a0b7179b523	7b837bdd-5a59-47f6-a1aa-259142234bd5.rna_seq.augmented_star_gene_counts.tsv	becb812a-90b7-4b6f-ad39-5a0b7179b523	123
d9fb85c3-ade1-47bf-8159-170f81eb130f	002f75a0-98e8-4b4b-a568-538b79703c19	TCGA-AA-3662-11A-01R-1723-07	ea88380e-ed58-4a4e-bf86-c81af19b4594	Solid Tissue Normal	TCGA-AA-3662-11A	Normal	TCGA-AA-3662	Transcriptome Profiling	Gene Expression Quantification	c63c52c9-82ba-46f8-bd0c-9459f25e98f2	ed61dd33-6f80-4998-a0fb-82498e123505.rna_seq.augmented_star_gene_counts.tsv	c63c52c9-82ba-46f8-bd0c-9459f25e98f2	123
d7ba64d7-b4e5-488d-9f28-bcb7bf3c0f35	f563a144-d064-4689-9229-972a9073a9a4	TCGA-AA-3522-01A-01R-0821-07	18d3b88c-852a-4782-a6b4-9e6e1a93718d	Primary Tumor	TCGA-AA-3522-01A	Tumor	TCGA-AA-3522	Transcriptome Profiling	Gene Expression Quantification	41a9b39d-c8b3-4b5f-9c1f-952ac04cb441	e59f49c0-d7ce-44c3-9590-9b65128d7f8b.rna_seq.augmented_star_gene_counts.tsv	41a9b39d-c8b3-4b5f-9c1f-952ac04cb441	126
d7ba64d7-b4e5-488d-9f28-bcb7bf3c0f35	6faa391d-a7e8-4a3f-a89b-9bd1a588cf5f	TCGA-AA-3522-11A-01R-A32Z-07	218bbd07-5fa3-4946-a2c1-0ece13466441	Solid Tissue Normal	TCGA-AA-3522-11A	Normal	TCGA-AA-3522	Transcriptome Profiling	Gene Expression Quantification	962bc9cc-9173-4fb5-ac07-ae576e7eca76	da8c5a43-b0e1-4bef-a6f8-2da7c7be0474.rna_seq.augmented_star_gene_counts.tsv	962bc9cc-9173-4fb5-ac07-ae576e7eca76	126
401a37f3-6630-4400-a811-a262351e37de	7f81eab3-eb0b-4264-98ea-46e53cbaaa8e	TCGA-AA-3531-01A-01R-0821-07	b58fb743-7eab-4021-95fb-1981fa522ccf	Primary Tumor	TCGA-AA-3531-01A	Tumor	TCGA-AA-3531	Transcriptome Profiling	Gene Expression Quantification	b81f3990-fd37-46b3-a1e9-2e992594d7db	72c16603-1f6c-479c-8cf0-95d499f328be.rna_seq.augmented_star_gene_counts.tsv	b81f3990-fd37-46b3-a1e9-2e992594d7db	129
401a37f3-6630-4400-a811-a262351e37de	7af22bfc-9dbf-48a1-89d6-b8584bab10bb	TCGA-AA-3531-11A-01R-A32Z-07	a9091e33-8f02-409d-aa87-14559df9492e	Solid Tissue Normal	TCGA-AA-3531-11A	Normal	TCGA-AA-3531	Transcriptome Profiling	Gene Expression Quantification	8eaead17-aacf-49b0-9f62-30fb80df9df3	871b21df-9338-419b-a2cc-9cf1552f4da2.rna_seq.augmented_star_gene_counts.tsv	8eaead17-aacf-49b0-9f62-30fb80df9df3	129
b54865b6-824e-4163-b759-21a6eacc98ce	9207eba7-e42f-4663-b1af-250971977c83	TCGA-A6-6781-01A-22R-A278-07	f1b2ca40-f20a-42de-aba2-4f730d7ccc09	Primary Tumor	TCGA-A6-6781-01A	Tumor	TCGA-A6-6781	Transcriptome Profiling	Gene Expression Quantification	d2bb361b-c78c-482f-b4d4-bd77ac7c0f37	ad478846-0a75-4081-ac09-37ee5415d9b4.rna_seq.augmented_star_gene_counts.tsv	d2bb361b-c78c-482f-b4d4-bd77ac7c0f37	132
56d5b0b9-9093-4286-a2c6-7faa9a1680f5	b16349cb-2b41-4235-b20f-116b8c71604f	TCGA-AZ-6603-01A-11R-1839-07	5321bcc9-a2a0-4671-875a-b1153ff47e13	Primary Tumor	TCGA-AZ-6603-01A	Tumor	TCGA-AZ-6603	Transcriptome Profiling	Gene Expression Quantification	31951036-bbb7-4f77-bce9-358a0ecd65ef	de2e0c63-0c2d-43af-a006-7d84557a1c3c.rna_seq.augmented_star_gene_counts.tsv	31951036-bbb7-4f77-bce9-358a0ecd65ef	139
56d5b0b9-9093-4286-a2c6-7faa9a1680f5	19cc121b-759b-4368-8a98-b0bd8cf7269a	TCGA-AZ-6603-11A-02R-1839-07	e5c26212-ccfc-40cf-a38f-c0c2d78a2036	Solid Tissue Normal	TCGA-AZ-6603-11A	Normal	TCGA-AZ-6603	Transcriptome Profiling	Gene Expression Quantification	a06c89f2-be32-4102-b126-45dcfd364dae	c4464d1a-4513-44af-a555-68cd0ca584b1.rna_seq.augmented_star_gene_counts.tsv	a06c89f2-be32-4102-b126-45dcfd364dae	139
fbb69964-f962-4b89-b59b-dd05f8faf61a	fe4d5eca-9363-4fc5-8f9e-a28b32bb1bbf	TCGA-AZ-6599-01A-11R-1774-07	d463f9a9-109e-40a8-8ee9-d16545b0c151	Primary Tumor	TCGA-AZ-6599-01A	Tumor	TCGA-AZ-6599	Transcriptome Profiling	Gene Expression Quantification	290b9234-0d19-4a74-971e-73dad79f7e9a	7bcfb173-3654-42a1-8664-d0d074e4618c.rna_seq.augmented_star_gene_counts.tsv	290b9234-0d19-4a74-971e-73dad79f7e9a	141
fbb69964-f962-4b89-b59b-dd05f8faf61a	8f01dbbd-6aaa-4efe-a79a-3e32ccbedc90	TCGA-AZ-6599-11A-01R-1774-07	807b3096-9816-41ac-8fdc-dcf12ba5b4cd	Solid Tissue Normal	TCGA-AZ-6599-11A	Normal	TCGA-AZ-6599	Transcriptome Profiling	Gene Expression Quantification	d0b39c4a-a06f-4c52-84b4-3c6483651685	572c3cf7-a0df-40d2-bc64-3fde805c72a7.rna_seq.augmented_star_gene_counts.tsv	d0b39c4a-a06f-4c52-84b4-3c6483651685	141
3a785e32-7960-4c72-84c4-fb42c4dd86f1	ad28b826-ccfe-406e-a8c1-232702fc2ddd	TCGA-A6-2678-01A-01R-0821-07	20eccd8a-dfaf-40e4-8128-d77aa41680c4	Primary Tumor	TCGA-A6-2678-01A	Tumor	TCGA-A6-2678	Transcriptome Profiling	Gene Expression Quantification	ac731d82-8a46-4e68-baba-401977b5ac9f	cb6e4e0c-6f89-4ea5-a89d-1b0da8cf7fac.rna_seq.augmented_star_gene_counts.tsv	ac731d82-8a46-4e68-baba-401977b5ac9f	143
3a785e32-7960-4c72-84c4-fb42c4dd86f1	f0c640c5-2779-4d91-8244-9d2d39d83790	TCGA-A6-2678-11A-01R-A32Z-07	94d25554-2c1b-4646-9a93-c94e6804b6cc	Solid Tissue Normal	TCGA-A6-2678-11A	Normal	TCGA-A6-2678	Transcriptome Profiling	Gene Expression Quantification	35c3dc03-a8cc-46e1-b5f6-4106ff5875f6	afdac76a-b30c-4fc9-acfc-3c4c76828d12.rna_seq.augmented_star_gene_counts.tsv	35c3dc03-a8cc-46e1-b5f6-4106ff5875f6	143
31a3877d-3e82-450e-811f-3448b06f3950	6d26af33-f181-4b3f-95b9-ac3c15c96592	TCGA-AA-3655-01A-02R-1723-07	41192387-8da9-4bd2-be0f-f74157e7bab9	Primary Tumor	TCGA-AA-3655-01A	Tumor	TCGA-AA-3655	Transcriptome Profiling	Gene Expression Quantification	08239799-b042-41c2-90cd-6a0dad35e54d	798dbd1d-9df6-42ab-8fe9-c48e416b3ec1.rna_seq.augmented_star_gene_counts.tsv	08239799-b042-41c2-90cd-6a0dad35e54d	155
31a3877d-3e82-450e-811f-3448b06f3950	5dce6ab3-c24f-4de9-ba94-6b9589e87735	TCGA-AA-3655-11A-01R-1723-07	8c017c53-ba54-44e3-9657-e6354849a2dc	Solid Tissue Normal	TCGA-AA-3655-11A	Normal	TCGA-AA-3655	Transcriptome Profiling	Gene Expression Quantification	dc0b07cb-49fb-44d0-b4d0-e99d50532d6d	c0529681-133f-47a6-bb6d-cd10c738524b.rna_seq.augmented_star_gene_counts.tsv	dc0b07cb-49fb-44d0-b4d0-e99d50532d6d	155
4c6c8d3d-e4a3-490a-9211-cfbe7e6ee25b	e110017a-7907-42a5-a01d-c874dad24d0f	TCGA-A6-5665-01B-03R-2302-07	f4337307-e3c2-46f5-aa59-e77e6e64d734	Primary Tumor	TCGA-A6-5665-01B	Tumor	TCGA-A6-5665	Transcriptome Profiling	Gene Expression Quantification	985d5043-cf68-4f4b-bba1-1aa621ab20c9	ec48e2b8-ca0a-40fe-a87b-f0e955466840.rna_seq.augmented_star_gene_counts.tsv	985d5043-cf68-4f4b-bba1-1aa621ab20c9	156
4c6c8d3d-e4a3-490a-9211-cfbe7e6ee25b	0eb5967b-472f-446b-8b04-a6c7480b166a	TCGA-A6-5665-11A-01R-1653-07	5f481013-8a19-4a85-9426-874f21cf2bf8	Solid Tissue Normal	TCGA-A6-5665-11A	Normal	TCGA-A6-5665	Transcriptome Profiling	Gene Expression Quantification	bdb54e47-4d66-4ca2-9709-e17c808c606f	c4438838-dcf9-47bb-b796-4a37dbfa369b.rna_seq.augmented_star_gene_counts.tsv	bdb54e47-4d66-4ca2-9709-e17c808c606f	156
19d1a5fc-3ce9-4e43-a364-a4150bcf911b	5b345610-029c-40b8-b39a-7d6657a6866e	TCGA-A6-2686-01A-01R-A32Z-07	510e5040-0834-4b92-9277-d60b523a22e8	Primary Tumor	TCGA-A6-2686-01A	Tumor	TCGA-A6-2686	Transcriptome Profiling	Gene Expression Quantification	75b92663-674e-45ea-9ff8-cf3ce33f8839	9f5f50f9-3524-4767-94d3-d89dca19f7ca.rna_seq.augmented_star_gene_counts.tsv	75b92663-674e-45ea-9ff8-cf3ce33f8839	177
19d1a5fc-3ce9-4e43-a364-a4150bcf911b	b2a99408-7ba1-40d7-8338-dc8c07d65aef	TCGA-A6-2686-11A-01R-A32Z-07	18c61df8-633b-4eb7-89c8-417ff90d11f9	Solid Tissue Normal	TCGA-A6-2686-11A	Normal	TCGA-A6-2686	Transcriptome Profiling	Gene Expression Quantification	530bff57-a892-435d-94df-ddc7dbd45fb9	ba6ae99d-73a8-48a5-b038-749434ae2f11.rna_seq.augmented_star_gene_counts.tsv	530bff57-a892-435d-94df-ddc7dbd45fb9	177
98d45099-feae-4dad-aa38-ec03fed6d999	fa89193c-5cdd-4092-931e-867270bef743	TCGA-A6-5659-01A-01R-A278-07	7bbba7d3-c921-4063-8a82-3496aa6b89d5	Primary Tumor	TCGA-A6-5659-01A	Tumor	TCGA-A6-5659	Transcriptome Profiling	Gene Expression Quantification	f01575cb-c8fa-4a21-9e61-768d25cabc58	b503bcc9-714d-40aa-8709-3b4577ce8007.rna_seq.augmented_star_gene_counts.tsv	f01575cb-c8fa-4a21-9e61-768d25cabc58	179
